"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Hsh2d","1","-2.225","7.616e-02","-0.138"
"Usp7","1","-2.222","0.786","-0.384"
"Sbno1","1","-2.221","0.313","-0.272"
"Bms1","1","-2.220","0.193","-0.222"
"Chil4","1","-2.220","0.427","-0.420"
"Zfp612","1","-2.220","0.354","-0.284"
"Stac3","1","-2.217","7.000e-02","-0.127"
"Actg1","1","-2.216","0.504","-0.332"
"Eef1b2","1","-2.216","0.406","-0.296"
"Ifitm2","1","-2.215","0.254","-0.219"
"Cx3cl1","1","-2.215","0.182","-0.208"
"Lig3","1","-2.215","0.558","-0.358"
"Baz1b","1","-2.211","0.323","-0.275"
"Hnf1b","1","-2.211","8.068e-02","-0.134"
"Cdk9","1","-2.211","0.531","-0.330"
"Rbm12b2","1","-2.210","0.261","-0.257"
"Ercc6","1","-2.208","0.316","-0.262"
"Zfp524","1","-2.204","0.139","-0.167"
"Fstl4","1","-2.201","0.260","-0.239"
